@relation 212700L1_2final

@attribute 'status pozyczki' {splacona,splacona_cz,windykacja,odmowa,windykacja_sp}
@attribute 'rodzaj zrodla dochodu' numeric
@attribute 'miesieczny dochod netto' numeric
@attribute 'ktore rolowanie' numeric
@attribute 'kwota kredytu' numeric
@attribute wiek numeric
@attribute plec {K,M}
@attribute 'okres w jakim pobieral dochod' numeric
@attribute 'okres w jakim bedzie pobieral dochod' numeric
@attribute 'opoznienie splaty' numeric

@data
splacona_cz,13,1026,1,200,74,K,243,48,1
odmowa,15,482.94,0,200,60,M,147,48,0
splacona_cz,13,1261.6,0,400,64,M,49,48,0
splacona_cz,13,1442.43,1,200,79,K,137,48,0
splacona_cz,16,588,1,600,55,M,418,48,0
windykacja,12,1600,0,200,20,K,0,2,2119
splacona_cz,13,1668,1,352.42,63,K,87,48,0
splacona,11,980,0,300,48,K,196,48,0
splacona,12,1000,1,300,50,M,39,48,0
splacona_cz,17,926,1,300,24,M,52,48,7
splacona_cz,13,1240,1,300,58,K,66,48,1
splacona_cz,17,926,1,520.7,24,M,52,48,7
splacona,13,1377.23,1,888.47,76,K,253,48,150
windykacja,12,1000,1,200,40,M,2,3,2119
splacona_cz,11,1888.27,0,400,29,M,73,48,0
splacona,11,1110,0,400,25,M,6,48,0
splacona_cz,13,865,1,300,70,K,123,48,10
splacona_cz,16,1045.6,1,500,54,K,8,48,0
splacona_cz,12,900,1,400,28,M,14,20,1
splacona_cz,13,930,1,673.09,63,K,90,48,5
splacona,11,1600,0,400,55,M,44,48,406
splacona_cz,11,3250,0,500,49,M,1,48,3
splacona,13,1250,0,200,67,M,63,48,0
splacona_cz,13,802.83,0,200,65,K,197,48,0
splacona,13,634.64,0,250,61,K,8,48,0
splacona_cz,13,1370,0,900,59,K,72,48,2
splacona_cz,11,1400,1,300,43,K,21,48,0
splacona,17,749.74,1,200,52,M,107,48,0
splacona,11,2200,0,900,33,K,33,48,0
splacona,13,670,1,200,65,K,62,48,0
splacona_cz,11,1700,1,281.29,53,K,201,48,0
odmowa,98,450,0,200,44,M,1,48,0
splacona,11,2250.05,1,500,61,M,172,48,14
splacona,99,645.31,0,300,43,K,6,11,0
splacona_cz,11,1187.06,0,200,56,K,129,48,0
splacona_cz,13,1090.14,0,400,61,K,71,48,0
splacona_cz,13,785,0,200,72,K,60,48,0
splacona_cz,13,2802,1,700,72,M,243,48,16
splacona_cz,11,1577.42,1,400,50,K,201,48,1
splacona,12,3000,1,626.61,37,M,3,10,29
splacona,12,1210,0,200,52,M,3,9,0
odmowa,11,3600,0,1000,38,M,48,48,0
splacona_cz,99,611.36,0,300,61,M,8,12,0
splacona_cz,11,2700,1,500,31,M,11,48,0
splacona_cz,12,600,1,300,47,M,5,27,0
splacona_cz,17,1200,1,200,25,K,161,48,0
splacona_cz,11,1077.49,0,300,48,K,367,48,0
splacona_cz,13,1291.18,1,400,70,K,75,48,0
splacona_cz,11,1033,0,400,33,M,32,48,3
splacona_cz,11,1800,1,500,49,K,49,48,2
odmowa,11,980,0,800,50,M,108,48,0
splacona_cz,11,2050,1,575.74,32,M,114,48,1
splacona_cz,11,2400,0,600,35,K,109,48,0
splacona_cz,12,1700,1,400,54,K,51,48,0
odmowa,13,1408.27,0,300,66,M,72,48,0
splacona,16,1389,0,200,63,K,87,48,0
splacona_cz,16,763.38,0,200,57,M,207,48,0
